Title,Issue Number,Issue Name,Publisher,Cover Date Month,Cover Date Year,Writer(s),Penciller(s),Inker(s)
"X-Men (2013)","#1","Primer Part 1 Of 3","Marvel"," July","2013","Brian Wood","Olivier Coipel","Mark Morales, Olivier Coipel"
"X-Men (2013)","#2","Primer, Part 2 of 3","Marvel"," August","2013","Brian Wood","Olivier Coipel","Mark Morales, Scott Hanna, Olivier Coipel"
"X-Men: Legacy (2013)","#1","Prodigal","Marvel"," January","2013","Simon Spurrier","Tan Eng Huat","Craig S. Yeung"
"X-Men: Legacy (2013)","#2","Prodigal Part 2","Marvel"," January","2013","Simon Spurrier","Tan Eng Huat","Craig S. Yeung"
"X-Men: Legacy (2013)","#3","Prodigal Part 3","Marvel"," February","2013","Simon Spurrier","Tan Eng Huat","Craig S. Yeung"
"X-Men: Legacy (2013)","#4","","Marvel"," March","2013","Simon Spurrier","Jorge Molina","Jorge Molina"
"X-Men: Legacy (2013)","#5","","Marvel"," March","2013","Simon Spurrier","Jorge Molina","Craig S. Yeung, Norman Lee"
"X-Men: Legacy (2013)","#6","","Marvel"," April","2013","Simon Spurrier","Jorge Molina","Norman Lee, Walden Wong"
"X-Men: Legacy (2013)","#7","Holy Ghosts","Marvel"," May","2013","Simon Spurrier","Tan Eng Huat","Craig S. Yeung"
"X-Men: Legacy (2013)","#8","Ballad Of The Glory Hog","Marvel"," May","2013","Simon Spurrier","Tan Eng Huat","Craig S. Yeung"
"X-Men: Legacy (2013)","#9","Judgment Of Diana","Marvel"," June","2013","Simon Spurrier","Tan Eng Huat","Craig S. Yeung"
"X-Men: Legacy (2013)","#10","Invasive Exotic Part One","Marvel"," July","2013","Simon Spurrier","Paul Davidson","Paul Davidson"
"X-Men: Legacy (2013)","#11","Invasive Exotic Part Two","Marvel"," July","2013","Simon Spurrier","Paul Davidson, Tan Eng Huat","Paul Davidson, Craig S. Yeung"
"X-Men: Legacy (2013)","#12","Invasive Exotic Part 3","Marvel"," August","2013","Simon Spurrier","Paul Davidson","Jay Leisten"
"X-Men: Legacy (2013)","#13","Hope and Glory Part 1","Marvel"," September","2013","Simon Spurrier","Tan Eng Huat","Craig S. Yeung"
"Young Avengers (2013)","TPB vol. 01","Style > Substance","Marvel"," September","2013","Kieron Gillen","Mike Norton, Jamie McKelvie","Mike Norton, Jamie McKelvie"
"Young Avengers (2013)","#1","Style > Substance","Marvel"," March","2013","Kieron Gillen","Mike Norton, Jamie McKelvie","Mike Norton, Jamie McKelvie"
"Young Terrorists (2015)","#1","","Black Mask Studios"," August","2015","Matt Pizzolo","Amancay Nahuelpan","Amancay Nahuelpan"
"Zot! (1984)","TPB vol. 01","1987 - 1991 - The Complete Black And White Collection","HarperCollins"," July","2008","Ivy Ratafia, Scott McCloud","Scott McCloud","Scott McCloud"
